# verdict 를 채워주세요: CORRECT | FABRICATED | WRONG_MATCH | UNVERIFIABLE
#   CORRECT       AI 원안이 실존하고 카카오 매칭도 그 장소가 맞음
#   FABRICATED    AI 원안이 그 지역에 실존하지 않음 — 매칭 성공 여부는 보지 않는다
#                 (매칭까지 통과한 '세탁'인지는 scoreBand 로 사후 분해된다)
#   WRONG_MATCH   AI 원안은 실존하는데 카카오가 엉뚱한 것을 매칭
#   UNVERIFIABLE  판단 불가
scoreBand,bestScore,requestId,day,location,aiPlaceName,matchedPlaceName,matchedAddress,matchedPlaceUrl,verdict,note
NO_RESULT,-1,8,2,제주,자연임실치즈피자 중문점,,,,CORRECT,서귀포시 천제연로 242(중문동) 실존. 프랜차이즈 45개 지점 중 하나
NO_RESULT,-1,3,2,경주,조돌칼국수 경주본점,,,,CORRECT,경주 보문단지 동죽칼국수 맛집 실존. 경주시 공식 관광페이지 등재
NO_RESULT,-1,13,2,강릉,강릉짬뽕순두부 동화가든 본점,,,,CORRECT,강릉시 초당동 실존 - 짬뽕순두부 원조. 한국관광공사 등재
NO_RESULT,-1,29,2,삼척,카페 통방아,,,,UNVERIFIABLE,"""삼척 대이리 통방아""는 국가민속문화재(물레방아)이고 동명의 카페는 웹 검색 2회로 확인 불가. 네이버 CAFE 슬롯이 반환한 상호이므로 네이버에는 등록돼 있다"
NO_RESULT,-1,6,1,부산,빙동댕 프리미엄 빙수카페 해운대점,,,,CORRECT,부산 해운대구 해운대로 732 실존. 빙수 전문 프랜차이즈
NO_RESULT,-1,7,2,제주,오드랑베이커리 함덕점,,,,CORRECT,제주 조천읍 함덕 실존 - 마농바게트로 알려진 베이커리
NO_RESULT,-1,14,2,강릉,카페제니엘 주문진점,,,,CORRECT,강릉시 주문진읍 해안로 1822 실존 - 주문진항 조망 대형 카페
NO_RESULT,-1,16,1,순천,라망드마망,,,,CORRECT,순천시 중앙동(동외동) 실존 - 디저트 카페·베이킹 스튜디오
NO_RESULT,-1,14,3,강릉,이디야커피 정동진역점,,,,CORRECT,이디야 프랜차이즈 정동진역 지점. 네이버 지역검색 등록 상호이며 웹 검색에서도 강릉 정동진 지점으로 언급된다
NO_RESULT,-1,21,3,영주,시골짬뽕,,,,CORRECT,영주 지역 커뮤니티(당근 동네생활)의 짬뽕 맛집 추천 목록에 등장. 상세 정보는 제한적
NAME_MISMATCH,-3,30,3,삼척,삼척바다배낚시체험,,,,CORRECT,"삼척시 공식 관광페이지에 ""바다선상낚시"" 항목 존재. 삼척항·장호항·임원항에서 운영"
NAME_MISMATCH,-3,10,3,서울,선유도공원전망대,,,,CORRECT,서울 선유도공원의 전망 시설 실존. 게이트가 띄어쓰기 없는 합성어를 거름
NAME_MISMATCH,-3,14,1,강릉,나상명강릉초당순두부,,,,CORRECT,강릉시 초당순두부길 77번길 16 실존 - 짬뽕순두부
NAME_MISMATCH,-3,28,1,삼척,삼척해수욕장,,,,CORRECT,삼척해수욕장 실존(삼척시 교동). 게이트가 표기 차이로 거름
NAME_MISMATCH,-3,29,3,삼척,삼척바다배낚시체험,,,,CORRECT,"삼척시 공식 관광페이지에 ""바다선상낚시"" 항목 존재. 삼척항·장호항·임원항에서 운영"
NAME_MISMATCH,-3,15,2,강릉,[강릉 바우길 5구간] 바다 호숫길,,,,CORRECT,TourAPI 등록 관광코스명(LISTED). 강릉 바우길 5구간은 실존하는 트레일
NAME_MISMATCH,-3,30,2,삼척,삼척해수욕장,,,,CORRECT,삼척해수욕장 실존(삼척시 교동). 게이트가 표기 차이로 거름
NAME_MISMATCH,-3,21,3,영주,소백산자락길1코스,,,,CORRECT,소백산자락길 1코스 실존 - 영주 구간 트레일
NAME_MISMATCH,-3,19,2,영주,연화 카페,,,,CORRECT,영주시 순흥면 죽계로 26 실존 - 전통 떡 디저트 카페
NAME_MISMATCH,-3,27,2,통영,드스텔라 로스터리,,,,CORRECT,드스텔라커피(통영시 운하1길 65) 실존 - 오션뷰 로스터리 카페
S1_4,3,22,2,공주,공주 중학동 구 선교사 가옥,공주중학동구선교사가옥,충남 공주시 쪽지골길 18-13,http://place.map.kakao.com/308310065,CORRECT,TourAPI 등록 문화재(LISTED). 매칭도 같은 대상
S1_4,3,13,3,강릉,주문진 방파제,주문진방파제,강원특별자치도 강릉시 주문진읍 주문리,http://place.map.kakao.com/8072237,CORRECT,TourAPI 등록(LISTED). 띄어쓰기만 다르고 매칭 정확
S1_4,3,21,2,영주,한밤실 마을 펜션,한밤실마을펜션,경북 영주시 부석면 영부로120번길 3,http://place.map.kakao.com/1948162628,CORRECT,영주 한밤실마을펜션 실존. 띄어쓰기만 다르고 매칭 정확
S1_4,3,25,1,통영,통영항 여객선터미널,통영항여객선터미널,경남 통영시 통영해안로 234,http://place.map.kakao.com/18641322,CORRECT,TourAPI 등록(LISTED). 띄어쓰기만 다르고 매칭 정확
S1_4,3,1,1,경주,경주 황남리 고분군,황남리고분군,경북 경주시 계림로 9,http://place.map.kakao.com/8179016,CORRECT,경주 황남리고분군 실존 사적. 띄어쓰기만 다르고 매칭 정확
S1_4,3,14,3,강릉,썬크루즈 호텔&리조트,썬크루즈호텔&리조트,강원특별자치도 강릉시 강동면 헌화로 950-39,http://place.map.kakao.com/26310988,CORRECT,강릉 정동진 썬크루즈호텔&리조트 실존. 매칭 정확
S1_4,3,30,2,삼척,후진 어촌체험마을,후진어촌체험마을,강원특별자치도 삼척시 새천년도로 460,http://place.map.kakao.com/2074093074,CORRECT,삼척 후진어촌체험마을 실존. 띄어쓰기만 다르고 매칭 정확
S1_4,3,16,3,순천,순천만습지순천만갈대군락지,순천만습지 순천만갈대군락지,전남광주통합특별시 순천시 해룡면 선학리 755-21,http://place.map.kakao.com/1771211020,CORRECT,순천만습지 갈대군락 실존. 매칭 정확
S1_4,3,22,1,공주,공산성연지,공주 공산성 연지,충남 공주시 금성동 58,http://place.map.kakao.com/12651430,CORRECT,TourAPI 등록(LISTED). 공주 공산성 연지 실존
S1_4,3,17,3,순천,순천농협파머스마켓 낙안점,순천농협 파머스마켓 낙안점,전남광주통합특별시 순천시 낙안면 삼일로 43,http://place.map.kakao.com/91940496,CORRECT,순천농협 파머스마켓 낙안점 실존. 띄어쓰기만 다르고 매칭 정확
S5_7,5,5,1,부산,태종대전망대,태종대 전망대,부산 영도구 전망로 209,http://place.map.kakao.com/8109574,CORRECT,부산 태종대 전망대 실존. 띄어쓰기만 다르고 매칭 정확
S5_7,5,4,2,부산,광안리 진양호횟집,광안리진양호횟집,부산 수영구 광안해변로344번길 17-20,http://place.map.kakao.com/8556968,CORRECT,광안리진양호횟집 실존. 띄어쓰기만 다르고 매칭 정확
S5_7,5,6,2,부산,광안리해변 테마거리,광안리해변테마거리,부산 수영구 민락동,http://place.map.kakao.com/12644071,CORRECT,"TourAPI 등록(LISTED). 매칭된 ""광안리해변테마거리""가 정확히 같은 대상 - before 에서 ""광안리 해변""이 이 시설로 잘못 매칭됐던 것과 달리 여기서는 원안이 테마거리를 직접 지목했다"
S5_7,5,11,2,서울,자연도소금빵in 성수,자연도소금빵 in성수,서울 성동구 연무장길 56-1,http://place.map.kakao.com/134679676,CORRECT,서울 성수 자연도소금빵 실존. 띄어쓰기만 다르고 매칭 정확
S5_7,5,7,1,제주,아베베 베이커리 제주,아베베베이커리 제주,제주특별자치도 제주시 동문로6길 4,http://place.map.kakao.com/587249375,CORRECT,제주 아베베베이커리 실존. 띄어쓰기만 다르고 매칭 정확
S5_7,5,3,1,경주,경주 금리단길,경주금리단길,경북 경주시 노동동 280-1,http://place.map.kakao.com/122904148,CORRECT,TourAPI 등록(LISTED). 경주 금리단길 실존
S5_7,5,30,1,삼척,해파랑길32코스,해파랑길 32코스,강원특별자치도 삼척시 정상동,http://place.map.kakao.com/26564211,CORRECT,해파랑길 32코스 실존 - 삼척 구간. 띄어쓰기만 다르고 매칭 정확
