# verdict 를 채워주세요: CORRECT | FABRICATED | WRONG_MATCH | UNVERIFIABLE
#   CORRECT       AI 원안이 실존하고 카카오 매칭도 그 장소가 맞음
#   FABRICATED    AI 원안이 그 지역에 실존하지 않음 — 매칭 성공 여부는 보지 않는다
#                 (매칭까지 통과한 '세탁'인지는 scoreBand 로 사후 분해된다)
#   WRONG_MATCH   AI 원안은 실존하는데 카카오가 엉뚱한 것을 매칭
#   UNVERIFIABLE  판단 불가
scoreBand,bestScore,requestId,day,location,aiPlaceName,matchedPlaceName,matchedAddress,matchedPlaceUrl,verdict,note
NO_RESULT,-1,18,2,순천,순천만갈대밭한정식,,,,FABRICATED,순천만갈대밭식당(순천시 순천만길 656) 실존하지만 순천만갈대밭한정식은 실존x
NO_RESULT,-1,25,2,통영,미륵산회식당,,,,FABRICATED,웹 검색 2회·카카오 모두 0건. 통영 횟집 목록(다이닝코드·트립어드바이저)에 부재
NO_RESULT,-1,11,1,서울,더 키친 485,,,,FABRICATED,더 키친485(서울 마포구 양화로6길 67) 실존
NO_RESULT,-1,28,1,삼척,카페 사계,,,,FABRICATED,웹 검색 2회 부재. 삼척 카페 목록(다이닝코드 62곳)에 없음
NO_RESULT,-1,23,1,공주,무령왕릉과 송산리고분군,,,,CORRECT,"2021-09 문화재청 고시로 ""공주 무령왕릉과 왕릉원""으로 개칭된 사적. 구명칭·신명칭 혼용 표기"
NO_RESULT,-1,16,1,순천,순천만국가정원 푸드코트,,,,UNVERIFIABLE,"정원 내 식당(습지센터·실내정원 옆·PRT 옆)은 실존하나 ""푸드코트"" 명칭의 단일 시설로 특정 불가. AI-HALLUCINATION-GEMINI.md 가 지목한 경계 사례"
NO_RESULT,-1,18,2,순천,카페 101,,,,FABRICATED,"실존하는 ""카페101""은 광주 동구 학소로 44 소재. 순천에는 없음 - 지역 불일치"
NO_RESULT,-1,21,3,영주,영주 레일바이크,,,,FABRICATED,영주시가 희방사역-풍기역 폐선부지 레일파크를 추진 중이나 운영 중인 시설 없음
NO_RESULT,-1,6,2,부산,에쎄떼,,,,CORRECT,부산 영도 소재 카페 실존 - 옛 목공장 개조 브런치 카페. 카카오 미등록
NO_RESULT,-1,19,3,영주,영주호 출렁다리,,,,CORRECT,영주호 용마루공원의 출렁다리(용미교·용두교 150m 현수교) 실존. 영주시 추천 사진명소
NAME_MISMATCH,-3,28,1,삼척,부명칼국수,,,,CORRECT,"부명칼국수(삼척시 사대길 43) 실존 - 옹심이칼국수. 게이트가 ""부명손칼국수""를 중간 삽입어로 거름"
NAME_MISMATCH,-3,17,3,순천,순천아랫장국밥거리,,,,FABRICATED,"순천 국밥거리는 웃장에 있다(게이트가 거른 후보도 ""웃장 국밥골목""). ""아랫장국밥거리"" 명칭은 확인되지 않음"
NAME_MISMATCH,-3,27,1,통영,통영해물가,,,,CORRECT,통영해물가 창원본점만 실존
NAME_MISMATCH,-3,4,2,부산,남포동 비빔당면,,,,CORRECT,"남포동 깡통골목 비빔당면 실존. 게이트가 거른 후보가 ""깡통골목 원조비빔당면"""
NAME_MISMATCH,-3,28,3,삼척,카페 비치,,,,FABRICATED,"웹 검색·삼척 카페 목록 모두 부재. 카카오 후보 ""클리어비치""는 다른 업소"
NAME_MISMATCH,-3,26,2,통영,통영굴마을,,,,CORRECT,"""생굴마을""이 실존"
NAME_MISMATCH,-3,16,1,순천,순천만습지 용산전망대,,,,CORRECT,"순천만 용산전망대 실존. 게이트가 ""습지"" 삽입어 때문에 거름"
NAME_MISMATCH,-3,20,2,영주,순흥묵집,,,,CORRECT,"순흥전통묵집(영주 순흥면, 부석사 인근) 실존. 1970년대부터 전통묵밥 단일 메뉴"
NAME_MISMATCH,-3,25,2,통영,한려수도 조망 케이블카,,,,CORRECT,"""통영 한려수도 조망 케이블카""가 정식 명칭(cablecar.ttdc.kr). 게이트가 약칭 ""통영케이블카""를 거름"
NAME_MISMATCH,-3,29,1,삼척,삼척항회센터,,,,CORRECT,"삼척항 활어회센터(삼척시 이사부길 38, 횟집 22곳) 실존. 삼척시 공식 관광페이지 등재"
S1_4,3,5,1,부산,해운대 시장,해운대시장 공영주차장,부산 해운대구 구남로29번길 20-11,http://place.map.kakao.com/1802884698,WRONG_MATCH,"해운대시장은 실존하나 카카오가 ""해운대시장 공영주차장""을 짚었다 - 주차장은 별개 POI"
S1_4,3,16,2,순천,순천 드라마 촬영장,순천드라마촬영장,전남광주통합특별시 순천시 비례골길 24,http://place.map.kakao.com/27195962,CORRECT,순천드라마촬영장 실존(순천시 조례동). 띄어쓰기만 다르고 매칭도 정확
S1_4,3,26,3,통영,통영 수산과학관,통영수산과학관,경남 통영시 산양읍 척포길 628-111,http://place.map.kakao.com/8571856,CORRECT,통영수산과학관 실존. 띄어쓰기만 다르고 매칭도 정확
S1_4,3,15,3,강릉,정동진 레일바이크,정동진레일바이크,강원특별자치도 강릉시 강동면 정동역길 17,http://place.map.kakao.com/26319786,CORRECT,정동진레일바이크 실존(강릉 정동진). 띄어쓰기만 다르고 매칭도 정확
S1_4,3,26,2,통영,서피랑 공원,서피랑공원,경남 통영시 중앙동 192,http://place.map.kakao.com/1649343384,CORRECT,서피랑공원 실존(통영 서호동). 띄어쓰기만 다르고 매칭도 정확
S1_4,3,26,1,통영,통영 중앙시장,통영중앙시장사업협동조합,경남 통영시 중앙로 160,http://place.map.kakao.com/9564358,WRONG_MATCH,"통영중앙전통시장은 실존하나 카카오가 ""통영중앙시장사업협동조합""을 짚었다 - 시장이 아니라 운영 법인"
S1_4,3,5,1,부산,SEA LIFE 부산 아쿠아리움,SEA LIFE 부산아쿠아리움 주차장,부산 해운대구 중동 1411-4,http://place.map.kakao.com/17583444,WRONG_MATCH,"아쿠아리움은 실존하나 카카오가 ""SEA LIFE 부산아쿠아리움 주차장""을 짚었다"
S1_4,3,22,2,공주,공주 한옥마을,공주한옥마을,충남 공주시 관광단지길 12,http://place.map.kakao.com/21490830,CORRECT,공주한옥마을 실존(공주시 웅진동). 띄어쓰기만 다르고 매칭도 정확
S1_4,3,22,3,공주,계룡산 동학사,계룡산동학사 자동차야영장,충남 공주시 반포면 동학사2로 115-16,http://place.map.kakao.com/438318648,WRONG_MATCH,"동학사는 실존하나 카카오가 ""계룡산동학사 자동차야영장""을 짚었다 - 사찰이 아니라 야영장"
S1_4,3,27,1,통영,서피랑 공원,서피랑공원,경남 통영시 중앙동 192,http://place.map.kakao.com/1649343384,CORRECT,서피랑공원 실존(통영 서호동). 띄어쓰기만 다르고 매칭도 정확
S5_7,5,6,1,부산,광안리 해변,광안리해변테마거리,부산 수영구 민락동,http://place.map.kakao.com/12644071,WRONG_MATCH,"광안리해수욕장은 실존하나 카카오가 ""광안리해변테마거리""를 짚었다 - 해변이 아니라 인접 거리"
S5_7,7,29,3,삼척,추암해변,추암해변,강원특별자치도 동해시 추암동 474-20,http://place.map.kakao.com/8100727,CORRECT,"추암해변 실존(삼척 증산동, 촛대바위). 매칭도 정확"
S5_7,5,6,2,부산,서면 젊음의 거리,서면젊음의거리,부산 부산진구 부전로 187,http://place.map.kakao.com/335140347,CORRECT,서면젊음의거리 실존(부산진구). 띄어쓰기만 다르고 매칭도 정확
S5_7,7,25,1,통영,해물가,통영해물가 창원본점,경남 창원시 성산구 용지로 233,http://place.map.kakao.com/1816577803,FABRICATED,"통영해물가 창원본점"만 실존
