# verdict 를 채워주세요: CORRECT | FABRICATED | WRONG_MATCH | UNVERIFIABLE
#   CORRECT       AI 원안이 실존하고 카카오 매칭도 그 장소가 맞음
#   FABRICATED     AI 원안이 그 지역에 실존하지 않는데 무관한 장소로 매칭됨 (세탁된 환각)
#   WRONG_MATCH   AI 원안은 실존하는데 카카오가 엉뚱한 것을 매칭
#   UNVERIFIABLE  판단 불가
scoreBand,bestScore,requestId,day,location,aiPlaceName,matchedPlaceName,matchedAddress,matchedPlaceUrl,verdict,note
NO_RESULT,-1,20,3,영주,카페 그날,,,,FABRICATED,검색결과없음 실존여부 확인불가
NO_RESULT,-1,18,2,순천,순천만갈대밭한정식,,,,FABRICATED,실제 상호명 순천만갈대밭식당 확인. 존재하지 않는 한정식 을 지어내 붙임 -> 환각 확정
NO_RESULT,-1,18,2,순천,낙안읍성전통식당,,,,FABRICATED,낙안읍성 인근 전통식당은 다수 존재하나 특정업체 특정불가
NO_RESULT,-1,21,2,영주,카페 그랜드,,,,FABRICATED,검색결과없음 실존여부 확인불가
NO_RESULT,-1,23,1,공주,무령왕릉과 송산리고분군,,,,CORRECT,무령왕릉과 왕릉원(옛 송산리고분군)으로 실존하는 유적지
NO_RESULT,-1,29,2,삼척,동굴신비관 식당,,,,FABRICATED,동굴신비관은 실존하나 전시관이며 식당이 아님
NO_RESULT,-1,19,3,영주,영주호 출렁다리,,,,CORRECT,영주호 용마루공원 출렁다리(용미교 용두교)로 실존
NO_RESULT,-1,21,3,영주,영주 레일바이크,,,,FABRICATED,영주 레일바이크 사업은 추진단계로 완공여부 불확실
NO_RESULT,-1,18,1,순천,펍 앤 펍스,,,,FABRICATED,재검색해도 순천에서 이 이름의 실존 업체 확인 안됨. NO_RESULT 기준상 환각으로 확정
NO_RESULT,-1,24,3,공주,공주역사영상관,,,,CORRECT,구 공주읍사무소 건물의 실존 전시관
S1_4,3,27,2,통영,통영 케이블카,통영케이블카,경남 통영시 발개로 205,http://place.map.kakao.com/11657791,CORRECT,통영케이블카와 동일장소
S1_4,3,24,2,공주,송산리고분군,공주 무령왕릉과 왕릉원,충남 공주시 금성동 산 5-19,http://place.map.kakao.com/2056894818,CORRECT,송산리고분군의 현재 공식명칭이 무령왕릉과 왕릉원임
