# verdict 를 채워주세요: CORRECT | FABRICATED | WRONG_MATCH | UNVERIFIABLE
#   CORRECT       AI 원안이 실존하고 카카오 매칭도 그 장소가 맞음
#   FABRICATED     AI 원안이 그 지역에 실존하지 않는데 무관한 장소로 매칭됨 (세탁된 환각)
#   WRONG_MATCH   AI 원안은 실존하는데 카카오가 엉뚱한 것을 매칭
#   UNVERIFIABLE  판단 불가
scoreBand,bestScore,requestId,day,location,aiPlaceName,matchedPlaceName,matchedAddress,matchedPlaceUrl,verdict,note
NO_RESULT,-1,11,2,서울,북한산국립공원 우이령길,,,,CORRECT,국립공원 예약탐방로로 실존(2009년 개방)
NO_RESULT,-1,7,1,제주,명리동식당 함덕점,,,,FABRICATED,체인은 실존하나 확인된 지점은 본점/애월점/구좌점뿐 함덕점 미확인
NO_RESULT,-1,8,2,제주,제주김만복 애월점,,,,CORRECT,고내리 소재 애월점 실존 확인
NO_RESULT,-1,6,2,부산,런드리샵,,,,CORRECT,부산진구 서전로 소재 동일 상호 실존 확인
NO_RESULT,-1,13,3,강릉,카페 브리사,,,,FABRICATED,강릉 소재 동일명 카페 검색되지 않음
NO_RESULT,-1,4,2,부산,개미집 남포점,,,,CORRECT,남포동 일대에 개미집 지점 다수 실존
NO_RESULT,-1,7,3,제주,제주김만복 애월점,,,,CORRECT,위 애월점 행과 동일 장소
NO_RESULT,-1,11,1,서울,더 키친 485,,,,FABRICATED,실제 상호명은 키친485. AI가 실존하지 않는 더 를 임의로 지어내 붙여 정보 왜곡 -> 환각으로 확정
NO_RESULT,-1,2,3,경주,보문호반길,,,,CORRECT,보문호 둘레 약 8km 산책로로 실존
NO_RESULT,-1,6,2,부산,에쎄떼,,,,CORRECT,영도구 대평북로 소재 실제 카페 확인
S1_4,3,2,1,경주,동궁과 월지,동궁과월지,경북 경주시 원화로 102,http://place.map.kakao.com/8179010,CORRECT,공백 표기차이일 뿐 동일 장소
S1_4,3,13,3,강릉,주문진 수산시장,주문진수산시장,강원특별자치도 강릉시 주문진읍 시장길 38,http://place.map.kakao.com/26985090,CORRECT,공백 표기차이일 뿐 동일 장소
S1_4,3,13,2,강릉,허균·허난설헌 기념공원,허균허난설헌기념공원,강원특별자치도 강릉시 난설헌로193번길 1-29,http://place.map.kakao.com/17344148,CORRECT,가운뎃점 유무 차이일 뿐 동일 장소
S1_4,3,8,2,제주,한담해안산책로,한담마을 장한철산책로,제주특별자치도 제주시 애월읍 애월리 2489-3,http://place.map.kakao.com/23705150,CORRECT,동일 해안산책로의 별칭(입구 표지석 명칭)
S1_4,3,2,2,경주,대릉원사진관,대릉원흑백사진관,경북 경주시 포석로 1081,http://place.map.kakao.com/1701158079,FABRICATED,"대릉원사진관" 상호명 존재X
S1_4,3,5,1,부산,SEA LIFE 부산 아쿠아리움,씨라이프 부산아쿠아리움,부산 해운대구 해운대해변로 266,http://place.map.kakao.com/7906241,CORRECT,영문/한글 표기차이일 뿐 동일 장소
S1_4,3,7,3,제주,한담해안산책로,한담마을 장한철산책로,제주특별자치도 제주시 애월읍 애월리 2489-3,http://place.map.kakao.com/23705150,CORRECT,위 한담해안산책로 행과 동일 장소
S5_7,5,4,2,부산,남포동 비빔당면,깡통골목 원조비빔당면,부산 중구 중구로47번길 29,http://place.map.kakao.com/15655773,CORRECT,남포동 인근 깡통골목의 유명 비빔당면집을 지칭한 것으로 판단
S5_7,5,6,1,부산,광안리 해변,광안리해수욕장,부산 수영구 광안해변로 219,http://place.map.kakao.com/8202423,CORRECT,명칭 표기차이일 뿐 동일 장소
S5_7,5,5,1,부산,해운대 시장,개미집 국제시장본점직영점,부산 해운대구 구남로 34,http://place.map.kakao.com/15917936,WRONG_MATCH,해운대시장은 실존하는 별개 전통시장인데 무관한 식당이 매칭됨
S5_7,5,13,3,강릉,주문진 해변,주문진해변,강원특별자치도 강릉시 주문진읍 향호리 8-35,http://place.map.kakao.com/8073114,CORRECT,공백 표기차이일 뿐 동일 장소
S5_7,5,2,3,경주,카페 아덴,아덴 보문호수점,경북 경주시 한국관광1번로 34,http://place.map.kakao.com/425270187,CORRECT,동일 브랜드의 보문호수점으로 판단
